work_id,mp_id,constituency_id,state,district,constituency,block,village_or_urban_area,sector,sub_sector,work_type,work_description,recommended_amount,technical_estimate_amount,administrative_approval_amount,sanctioned_amount,released_amount,actual_expenditure,work_start_date,sanction_date,expected_completion_date,actual_completion_date,physical_progress_percent,financial_progress_percent,number_of_payments,first_payment_date,last_payment_date,implementing_agency_id,contractor_id,latitude,longitude,number_of_progress_updates,inspection_count
MPL-WORK-20240012,MP-457,CON-2971,Maharashtra,Maharashtra_Dist_2,Maharashtra_Const_6,Block-10,Village-21,Water & Sanitation,Drainage System,Procurement,"Drainage System at Village-21, Block-10, Maharashtra_Dist_2",24106882,23995449.66,23987700.72,23987700.72,24243475.93,23589340.82,2022-09-02,2022-08-01,2023-07-14,2023-06-28,100.0,98.34,2,2022-09-25,2023-08-02,AGENCY-080,CONT-0279,15.071613,73.791334,12,2
MPL-WORK-20240013,MP-803,CON-1145,Tamil Nadu,Tamil Nadu_Dist_5,Tamil Nadu_Const_8,Block-9,Village-7,Education,Smart Classrooms,Procurement,"Smart Classrooms at Village-7, Block-9, Tamil Nadu_Dist_5",14712844,15807512.16,15505299.96,15505299.96,12323406.75,10732373.38,2024-08-19,2024-05-25,2025-02-19,,73.98,69.22,2,2024-08-21,2025-03-07,AGENCY-077,CONT-0559,10.648506,76.645888,8,4
MPL-WORK-20240014,MP-230,CON-9994,Uttar Pradesh,Uttar Pradesh_Dist_3,Uttar Pradesh_Const_6,Block-2,Village-46,Health,Hospital Ward,Procurement,"Hospital Ward at Village-46, Block-2, Uttar Pradesh_Dist_3",8872828,9316824.42,9196391.16,9196391.16,2622376.36,1723122.32,2023-06-04,2023-04-30,2024-02-29,,14.61,18.74,7,2023-06-04,2023-08-13,AGENCY-171,CONT-0802,26.754686,84.440233,2,2
MPL-WORK-20240015,MP-263,CON-1756,Maharashtra,Maharashtra_Dist_4,Maharashtra_Const_1,Block-16,Village-29,Health,Ambulance Purchase,Procurement,"Ambulance Purchase at Village-29, Block-16, Maharashtra_Dist_4",12232589,12180950.72,12131092.99,12131092.99,4299833.15,4072889.26,2022-07-12,2022-05-23,2023-07-06,,35.6,33.57,9,2022-07-24,2023-01-11,AGENCY-275,CONT-0340,26.906269,72.076152,5,1
MPL-WORK-20240016,MP-694,CON-0626,Tamil Nadu,Tamil Nadu_Dist_1,Tamil Nadu_Const_2,Block-20,Village-56,Infrastructure,Bus Shelter,Procurement,"Bus Shelter at Village-56, Block-20, Tamil Nadu_Dist_1",11025264,11195704.47,11192174.65,11192174.65,11160869.6,10848124.65,2023-06-26,2023-06-06,2024-08-02,2024-07-03,100.0,96.93,9,2023-07-25,2024-08-06,AGENCY-101,CONT-0373,17.763353,87.079741,12,5
MPL-WORK-20240017,MP-421,CON-8664,Maharashtra,Maharashtra_Dist_3,Maharashtra_Const_9,Block-10,Village-86,Water & Sanitation,Public Toilets,Procurement,"Public Toilets at Village-86, Block-10, Maharashtra_Dist_3",14002316,14766580.08,14634984.0,14634984.0,9153201.5,7753263.62,2023-11-14,2023-09-09,2025-02-16,,49.43,52.98,1,2023-11-23,2024-01-20,AGENCY-108,CONT-0441,24.143659,80.919908,6,3
MPL-WORK-20240018,MP-552,CON-3735,Gujarat,Gujarat_Dist_2,Gujarat_Const_9,Block-16,Village-95,Health,Hospital Ward,Procurement,"Hospital Ward at Village-95, Block-16, Gujarat_Dist_2",3345266,3320403.85,3298081.03,3298081.03,743809.45,700330.22,2023-03-17,2023-02-12,2023-09-25,,26.54,21.23,1,2023-03-24,2023-08-12,AGENCY-038,CONT-0467,17.459938,81.335777,3,3
MPL-WORK-20240019,MP-606,CON-9732,Karnataka,Karnataka_Dist_2,Karnataka_Const_3,Block-1,Village-97,Education,Library Setup,Procurement,"Library Setup at Village-97, Block-1, Karnataka_Dist_2",7843090,7657859.76,7651421.96,7651421.96,2063338.07,476680.3,2024-08-24,2024-07-23,2025-10-15,,0.75,6.23,9,2024-09-10,2025-02-20,AGENCY-163,CONT-0973,23.5945,77.966322,3,3
MPL-WORK-20240020,MP-262,CON-5596,Gujarat,Gujarat_Dist_4,Gujarat_Const_5,Block-8,Village-82,Infrastructure,Bus Shelter,Procurement,"Bus Shelter at Village-82, Block-8, Gujarat_Dist_4",16760377,17498039.16,17244176.72,17244176.72,17196479.19,16997192.57,2024-01-13,2023-11-19,2025-04-13,2025-03-24,100.0,98.57,3,2024-01-17,2025-04-07,AGENCY-197,CONT-0711,12.750495,73.851152,13,4
MPL-WORK-20240021,MP-438,CON-0692,Rajasthan,Rajasthan_Dist_4,Rajasthan_Const_7,Block-2,Village-27,Water & Sanitation,Public Toilets,Procurement,"Public Toilets at Village-27, Block-2, Rajasthan_Dist_4",20098452,21945686.76,21515345.86,21515345.86,3436485.49,5070853.21,2024-05-16,2024-03-09,2025-08-14,,7.15,23.57,9,2024-06-10,2024-10-09,AGENCY-113,CONT-0500,13.949589,77.845048,0,3
MPL-WORK-20240022,MP-444,CON-2731,Karnataka,Karnataka_Dist_2,Karnataka_Const_8,Block-5,Village-80,Electricity,Street Lights,Procurement,"Street Lights at Village-80, Block-5, Karnataka_Dist_2",13721125,14253283.96,14157216.76,14157216.76,13998673.77,13904333.23,2024-09-10,2024-08-03,2025-04-03,2025-04-06,100.0,98.21,7,2024-09-20,2025-04-19,AGENCY-233,CONT-0335,16.07501,85.83352,12,4
MPL-WORK-20240023,MP-358,CON-1756,Maharashtra,Maharashtra_Dist_4,Maharashtra_Const_1,Block-18,Village-7,Infrastructure,Village Road,Construction,"Village Road at Village-7, Block-18, Maharashtra_Dist_4",22315215,21429139.3,21410832.65,21410832.65,22151835.64,21147729.06,2023-03-02,2023-02-13,2024-07-12,2024-07-01,100.0,98.77,4,2023-03-06,2024-07-31,AGENCY-059,CONT-0578,27.059626,78.370612,12,3
MPL-WORK-20240024,MP-271,CON-4675,Andhra Pradesh,Andhra Pradesh_Dist_5,Andhra Pradesh_Const_2,Block-6,Village-40,Education,Smart Classrooms,Procurement,"Smart Classrooms at Village-40, Block-6, Andhra Pradesh_Dist_5",1361624,1483262.06,1470677.97,1470677.97,169421.07,262889.09,2023-06-10,2023-05-13,2024-05-09,,5.95,17.88,10,2023-07-05,2023-08-11,AGENCY-290,CONT-0802,10.739244,79.589414,2,0
MPL-WORK-20240025,MP-618,CON-0438,Madhya Pradesh,Madhya Pradesh_Dist_1,Madhya Pradesh_Const_7,Block-16,Village-14,Water & Sanitation,Public Toilets,Procurement,"Public Toilets at Village-14, Block-16, Madhya Pradesh_Dist_1",21826697,23654382.81,23398792.16,23398792.16,14746717.46,13990974.29,2024-11-30,2024-09-17,2026-01-07,,50.48,59.79,10,2024-12-08,2025-02-06,AGENCY-126,CONT-0851,26.823194,75.020708,8,2
MPL-WORK-20240026,MP-868,CON-2325,Gujarat,Gujarat_Dist_5,Gujarat_Const_7,Block-11,Village-4,Water & Sanitation,Public Toilets,Procurement,"Public Toilets at Village-4, Block-11, Gujarat_Dist_5",6601533,6754242.9,6667089.52,6667089.52,3366289.52,3190028.59,2022-04-12,2022-01-21,2023-01-14,,43.82,47.85,2,2022-04-19,2022-09-22,AGENCY-209,CONT-0501,19.993172,74.325831,7,3
MPL-WORK-20240027,MP-558,CON-5138,Uttar Pradesh,Uttar Pradesh_Dist_1,Uttar Pradesh_Const_5,Block-8,Village-52,Health,Ambulance Purchase,Procurement,"Ambulance Purchase at Village-52, Block-8, Uttar Pradesh_Dist_1",22778801,23626931.79,23378027.02,23378027.02,12372526.31,10847660.02,2023-09-01,2023-07-09,2024-07-05,,49.79,46.4,4,2023-09-04,2024-03-09,AGENCY-099,CONT-0324,12.151985,79.645551,5,1
MPL-WORK-20240028,MP-321,CON-3735,Gujarat,Gujarat_Dist_3,Gujarat_Const_9,Block-20,Village-37,Education,Construction of School Building,Construction,"Construction of School Building at Village-37, Block-20, Gujarat_Dist_3",10440381,10274613.58,10105995.16,10105995.16,10021485.52,9958456.97,2022-04-25,2022-04-04,2023-08-01,2023-08-08,100.0,98.54,3,2022-05-15,2023-09-08,AGENCY-053,CONT-0894,10.220777,75.118108,13,4
MPL-WORK-20240029,MP-448,CON-2338,Bihar,Bihar_Dist_1,Bihar_Const_5,Block-16,Village-15,Education,Library Setup,Procurement,"Library Setup at Village-15, Block-16, Bihar_Dist_1",17000276,16339174.8,16218083.77,16218083.77,16160076.22,15530215.65,2023-10-10,2023-09-15,2024-08-12,2024-07-28,100.0,95.76,9,2023-11-03,2024-08-23,AGENCY-116,CONT-0795,19.406306,78.10926,13,3
MPL-WORK-20240030,MP-980,CON-4087,Andhra Pradesh,Andhra Pradesh_Dist_4,Andhra Pradesh_Const_5,Block-19,Village-80,Education,Smart Classrooms,Procurement,"Smart Classrooms at Village-80, Block-19, Andhra Pradesh_Dist_4",3829726,4182591.32,4116321.34,4116321.34,3003955.51,2705295.12,2022-12-02,2022-11-17,2023-12-26,,38.53,65.72,8,2022-12-24,2023-06-17,AGENCY-241,CONT-0299,10.587517,75.185888,5,3
MPL-WORK-20240031,MP-172,CON-0528,West Bengal,West Bengal_Dist_3,West Bengal_Const_4,Block-14,Village-15,Electricity,Street Lights,Procurement,"Street Lights at Village-15, Block-14, West Bengal_Dist_3",22231015,21616292.09,21298806.03,21298806.03,5179689.55,4504894.45,2023-10-25,2023-08-15,2024-06-24,,25.0,21.15,8,2023-11-16,2023-12-30,AGENCY-207,CONT-0966,14.900431,79.719668,5,0
MPL-WORK-20240032,MP-712,CON-9994,Uttar Pradesh,Uttar Pradesh_Dist_4,Uttar Pradesh_Const_6,Block-20,Village-33,Education,Construction of School Building,Construction,"Construction of School Building at Village-33, Block-20, Uttar Pradesh_Dist_4",8181428,8952827.56,8923454.88,8923454.88,9223211.41,8923264.1,2023-10-02,2023-07-06,2024-04-19,2024-06-25,100.0,100.0,3,2023-10-17,2024-07-28,AGENCY-227,CONT-0939,15.006818,87.945019,13,4
MPL-WORK-20240033,MP-193,CON-2325,Gujarat,Gujarat_Dist_3,Gujarat_Const_7,Block-11,Village-42,Education,Construction of School Building,Construction,"Construction of School Building at Village-42, Block-11, Gujarat_Dist_3",11566374,11702241.46,11584158.59,11584158.59,2212170.95,1593101.59,2023-11-23,2023-10-07,2024-11-02,,12.2,13.75,2,2023-12-17,2024-03-18,AGENCY-264,CONT-0845,27.786146,81.837887,4,3
MPL-WORK-20240034,MP-155,CON-2702,West Bengal,West Bengal_Dist_5,West Bengal_Const_6,Block-20,Village-97,Water & Sanitation,Drainage System,Procurement,"Drainage System at Village-97, Block-20, West Bengal_Dist_5",15332433,16313686.95,16053828.91,16053828.91,14618793.27,14272190.05,2023-06-10,2023-05-06,2024-05-14,,84.94,88.9,9,2023-06-10,2023-11-23,AGENCY-209,CONT-0096,14.044612,85.145302,8,4
MPL-WORK-20240035,MP-220,CON-2338,Bihar,Bihar_Dist_4,Bihar_Const_5,Block-17,Village-91,Infrastructure,Community Hall,Construction,"Community Hall at Village-91, Block-17, Bihar_Dist_4",16689999,18309541.34,18032602.54,18032602.54,9969196.47,8478179.33,2022-07-12,2022-05-23,2023-08-08,,46.85,47.02,6,2022-08-10,2023-02-08,AGENCY-260,CONT-0274,24.769891,75.091102,6,3
MPL-WORK-20240036,MP-986,CON-6273,Bihar,Bihar_Dist_4,Bihar_Const_9,Block-16,Village-45,Infrastructure,Bus Shelter,Procurement,"Bus Shelter at Village-45, Block-16, Bihar_Dist_4",18734487,18857788.18,18832463.02,18832463.02,19037880.1,16254984.55,2024-05-11,2024-04-21,2025-04-18,,88.65,86.31,8,2024-06-02,2025-02-08,AGENCY-196,CONT-0396,27.791452,84.263086,9,4
MPL-WORK-20240037,MP-137,CON-9776,Bihar,Bihar_Dist_5,Bihar_Const_6,Block-4,Village-57,Education,Smart Classrooms,Procurement,"Smart Classrooms at Village-57, Block-4, Bihar_Dist_5",15831962,15076811.29,14818743.14,14818743.14,3422920.31,3043537.63,2024-04-19,2024-03-25,2025-04-02,,25.24,20.54,9,2024-05-01,2024-08-13,AGENCY-250,CONT-0894,19.738288,81.11427,3,2
MPL-WORK-20240038,MP-332,CON-4284,Maharashtra,Maharashtra_Dist_4,Maharashtra_Const_2,Block-4,Village-57,Health,Hospital Ward,Procurement,"Hospital Ward at Village-57, Block-4, Maharashtra_Dist_4",10548414,11450446.95,11231970.36,11231970.36,11038199.28,10835126.75,2022-12-11,2022-10-26,2024-03-06,2024-03-28,100.0,96.47,10,2023-01-01,2024-04-08,AGENCY-088,CONT-0180,11.42143,85.675113,11,4
MPL-WORK-20240039,MP-697,CON-5011,Bihar,Bihar_Dist_2,Bihar_Const_8,Block-9,Village-59,Infrastructure,Bus Shelter,Procurement,"Bus Shelter at Village-59, Block-9, Bihar_Dist_2",815325,884494.14,875034.53,875034.53,619938.36,579862.26,2023-11-13,2023-09-05,2024-09-16,,67.43,66.27,8,2023-12-10,2024-01-20,AGENCY-102,CONT-0394,25.360038,71.919759,9,5
MPL-WORK-20240040,MP-467,CON-4087,Andhra Pradesh,Andhra Pradesh_Dist_3,Andhra Pradesh_Const_5,Block-1,Village-85,Water & Sanitation,Public Toilets,Procurement,"Public Toilets at Village-85, Block-1, Andhra Pradesh_Dist_3",771722,798646.88,793628.18,793628.18,819518.66,790081.33,2023-09-23,2023-08-10,2025-01-25,2025-04-07,100.0,99.55,6,2023-09-30,2025-05-17,AGENCY-098,CONT-0636,14.511282,83.600392,11,1
MPL-WORK-20240041,MP-742,CON-0063,Uttar Pradesh,Uttar Pradesh_Dist_3,Uttar Pradesh_Const_8,Block-2,Village-75,Infrastructure,Bus Shelter,Procurement,"Bus Shelter at Village-75, Block-2, Uttar Pradesh_Dist_3",4909448,4730351.37,4663663.86,4663663.86,969489.68,154087.22,2024-04-11,2024-01-20,2025-06-21,,2.63,3.3,5,2024-05-07,2024-05-01,AGENCY-132,CONT-0936,24.844417,78.673261,2,2
MPL-WORK-20240042,MP-923,CON-4284,Maharashtra,Maharashtra_Dist_4,Maharashtra_Const_2,Block-5,Village-97,Health,Hospital Ward,Procurement,"Hospital Ward at Village-97, Block-5, Maharashtra_Dist_4",24800680,26069505.97,25755322.27,25755322.27,5703395.74,5565821.17,2024-03-13,2024-01-25,2025-07-05,,26.32,21.61,7,2024-04-08,2024-09-04,AGENCY-191,CONT-0111,22.147058,78.486584,4,1
MPL-WORK-20240043,MP-763,CON-1002,Maharashtra,Maharashtra_Dist_4,Maharashtra_Const_5,Block-14,Village-15,Health,Primary Health Centre,Procurement,"Primary Health Centre at Village-15, Block-14, Maharashtra_Dist_4",1748631,1741032.65,1723365.51,1723365.51,1701976.83,1657429.55,2024-05-18,2024-03-06,2025-05-22,2025-07-16,100.0,96.17,9,2024-05-31,2025-08-22,AGENCY-080,CONT-0907,17.467921,71.782389,13,5
MPL-WORK-20240044,MP-517,CON-4927,Tamil Nadu,Tamil Nadu_Dist_1,Tamil Nadu_Const_6,Block-7,Village-57,Water & Sanitation,Drinking Water RO,Procurement,"Drinking Water RO at Village-57, Block-7, Tamil Nadu_Dist_1",12669724,12225057.15,12148205.62,12148205.62,4856913.11,4082118.26,2024-08-15,2024-07-20,2025-05-30,,24.24,33.6,10,2024-08-15,2024-09-30,AGENCY-171,CONT-0250,27.798776,84.165606,3,0
MPL-WORK-20240045,MP-949,CON-2925,Rajasthan,Rajasthan_Dist_2,Rajasthan_Const_4,Block-8,Village-43,Health,Hospital Ward,Procurement,"Hospital Ward at Village-43, Block-8, Rajasthan_Dist_2",595145,590140.56,589952.05,589952.05,346186.49,295056.31,2022-10-13,2022-09-27,2023-10-11,,57.82,50.01,4,2022-10-31,2023-02-16,AGENCY-009,CONT-0179,14.776615,72.281654,8,5
MPL-WORK-20240046,MP-216,CON-9234,Maharashtra,Maharashtra_Dist_4,Maharashtra_Const_8,Block-12,Village-66,Electricity,Street Lights,Procurement,"Street Lights at Village-66, Block-12, Maharashtra_Dist_4",15666785,16067475.61,16049934.96,16049934.96,16550372.95,15831048.35,2025-01-25,2024-12-03,2026-03-15,2026-05-06,100.0,98.64,1,2025-01-26,2026-06-05,AGENCY-206,CONT-0437,22.349755,78.824839,13,1
MPL-WORK-20240047,MP-182,CON-7240,Madhya Pradesh,Madhya Pradesh_Dist_5,Madhya Pradesh_Const_3,Block-3,Village-17,Infrastructure,Bus Shelter,Procurement,"Bus Shelter at Village-17, Block-3, Madhya Pradesh_Dist_5",21742529,22564498.86,22434596.3,22434596.3,4279244.08,2975707.12,2024-06-27,2024-05-31,2025-02-20,,14.92,13.26,9,2024-07-20,2025-03-08,AGENCY-111,CONT-0441,18.127988,74.112884,3,3
MPL-WORK-20240048,MP-508,CON-4788,Karnataka,Karnataka_Dist_1,Karnataka_Const_6,Block-14,Village-41,Infrastructure,Community Hall,Construction,"Community Hall at Village-41, Block-14, Karnataka_Dist_1",5621712,5919792.91,5857548.4,5857548.4,5835353.51,5808278.19,2022-09-17,2022-07-17,2023-05-21,2023-07-01,100.0,99.16,1,2022-10-05,2023-08-05,AGENCY-288,CONT-0338,22.060239,77.394555,13,1
MPL-WORK-20240049,MP-394,CON-1330,Andhra Pradesh,Andhra Pradesh_Dist_3,Andhra Pradesh_Const_6,Block-4,Village-74,Electricity,Street Lights,Procurement,"Street Lights at Village-74, Block-4, Andhra Pradesh_Dist_3",5691883,5967998.78,5875404.67,5875404.67,5842591.71,5684487.5,2022-10-13,2022-08-24,2024-01-29,2024-01-27,100.0,96.75,7,2022-11-09,2024-03-02,AGENCY-286,CONT-0027,20.961908,81.840962,12,1
MPL-WORK-20240050,MP-284,CON-4927,Tamil Nadu,Tamil Nadu_Dist_3,Tamil Nadu_Const_6,Block-12,Village-1,Health,Primary Health Centre,Procurement,"Primary Health Centre at Village-1, Block-12, Tamil Nadu_Dist_3",19502582,20450440.55,20069892.79,20069892.79,19666638.5,19158476.49,2024-04-18,2024-02-10,2025-06-04,2025-06-17,100.0,95.46,3,2024-04-29,2025-07-06,AGENCY-167,CONT-0796,26.945334,80.732028,10,2
MPL-WORK-20240051,MP-261,CON-4675,Andhra Pradesh,Andhra Pradesh_Dist_1,Andhra Pradesh_Const_2,Block-9,Village-57,Water & Sanitation,Public Toilets,Procurement,"Public Toilets at Village-57, Block-9, Andhra Pradesh_Dist_1",20870090,21210410.79,20902082.2,20902082.2,20329816.57,20217719.66,2024-12-14,2024-09-23,2025-11-16,2025-10-22,100.0,96.73,4,2024-12-26,2025-11-29,AGENCY-029,CONT-0008,13.679616,87.015834,11,3
MPL-WORK-20240052,MP-396,CON-4450,Madhya Pradesh,Madhya Pradesh_Dist_1,Madhya Pradesh_Const_1,Block-16,Village-96,Water & Sanitation,Drinking Water RO,Procurement,"Drinking Water RO at Village-96, Block-16, Madhya Pradesh_Dist_1",4834752,4868745.71,4839890.72,4839890.72,772005.92,769123.01,2022-08-03,2022-06-09,2023-11-20,,25.05,15.89,7,2022-08-21,2022-11-19,AGENCY-214,CONT-0297,12.073121,70.375418,4,1
MPL-WORK-20240053,MP-920,CON-1330,Andhra Pradesh,Andhra Pradesh_Dist_4,Andhra Pradesh_Const_6,Block-3,Village-56,Education,Construction of School Building,Construction,"Construction of School Building at Village-56, Block-3, Andhra Pradesh_Dist_4",15118878,15698395.07,15548934.59,15548934.59,2243935.35,2899117.62,2023-01-04,2022-12-11,2024-03-20,,13.06,18.65,2,2023-01-20,2023-06-19,AGENCY-100,CONT-0928,23.972108,76.319795,2,1
MPL-WORK-20240054,MP-205,CON-2728,Bihar,Bihar_Dist_3,Bihar_Const_4,Block-6,Village-78,Health,Hospital Ward,Procurement,"Hospital Ward at Village-78, Block-6, Bihar_Dist_3",3028436,2957485.56,2944049.59,2944049.59,635601.52,414916.3,2023-12-18,2023-10-24,2024-08-31,,6.96,14.09,8,2023-12-20,2024-04-21,AGENCY-227,CONT-0647,15.450768,74.944126,0,2
MPL-WORK-20240055,MP-619,CON-9234,Maharashtra,Maharashtra_Dist_3,Maharashtra_Const_8,Block-15,Village-5,Education,Library Setup,Procurement,"Library Setup at Village-5, Block-15, Maharashtra_Dist_3",10132706,9742694.6,9716243.19,9716243.19,9770807.36,9529209.59,2024-11-02,2024-08-05,2026-02-08,2026-04-20,100.0,98.08,1,2024-11-16,2026-05-26,AGENCY-097,CONT-0330,20.890105,79.024611,10,4
MPL-WORK-20240056,MP-205,CON-3732,Madhya Pradesh,Madhya Pradesh_Dist_1,Madhya Pradesh_Const_9,Block-6,Village-6,Health,Hospital Ward,Procurement,"Hospital Ward at Village-6, Block-6, Madhya Pradesh_Dist_1",15188730,16687066.37,16528228.38,16528228.38,8250205.03,7143696.72,2022-06-14,2022-04-18,2023-01-13,,45.47,43.22,6,2022-06-17,2022-11-06,AGENCY-198,CONT-0291,14.535924,85.328193,5,2
MPL-WORK-20240057,MP-183,CON-1330,Andhra Pradesh,Andhra Pradesh_Dist_2,Andhra Pradesh_Const_6,Block-10,Village-84,Water & Sanitation,Drinking Water RO,Procurement,"Drinking Water RO at Village-84, Block-10, Andhra Pradesh_Dist_2",20466270,21619034.75,21223284.92,21223284.92,2664769.19,1742837.88,2025-01-09,2024-12-14,2026-02-09,,9.65,8.21,9,2025-01-20,2025-02-16,AGENCY-186,CONT-0317,13.244733,73.855468,3,1
MPL-WORK-20240058,MP-331,CON-4407,Bihar,Bihar_Dist_2,Bihar_Const_2,Block-10,Village-13,Electricity,Transformer Installation,Procurement,"Transformer Installation at Village-13, Block-10, Bihar_Dist_2",18167469,17361962.01,17131660.57,17131660.57,10810805.77,9495080.72,2023-02-15,2022-12-06,2023-09-05,,61.81,55.42,7,2023-02-26,2023-07-27,AGENCY-122,CONT-0993,17.995577,75.128703,9,2
